Judet , Sub 25 ani, 25 - 29 ani, 30 - 39 ani, 40 - 49 ani, 50 - 55 ani, peste 55 ani
ALBA,689,331,1125,1579,922,1044
ARAD,286,123,413,760,503,774
ARGES,1014,538,1753,2464,1521,1532
BACAU,1785,1981,2249,2363,2340,2229
BIHOR,714,261,863,1095,669,542
BISTRITA,469,196,618,899,621,592
BOTOSANI,491,172,643,1254,673,913
BRAILA,520,262,964,1576,656,1199
BRASOV,865,468,1441,1558,897,1102
BUZAU,1384,587,2190,3758,1980,2627
CALARASI,505,180,783,1053,632,831
CARAS-SEVERIN,523,222,610,1073,652,687
CLUJ,650,301,966,1401,862,908
CONSTANTA,520,247,1070,1490,941,1266
COVASNA,949,198,553,658,313,430
DAMBOVITA,1892,421,1374,2231,1475,1862
DOLJ,2079,1125,3756,6072,3438,3962
GALATI,2305,482,2019,3930,2174,2821
GIURGIU,456,95,372,569,453,570
GORJ,649,233,940,1680,900,1650
HARGHITA,1251,398,1210,1385,734,776
HUNEDOARA,791,422,1187,2241,1232,913
IALOMITA,699,236,928,1510,934,1105
IASI,1012,246,1537,2821,1887,2424
ILFOV,162,52,233,302,165,204
MARAMURES,764,523,1479,1687,1042,978
MEHEDINTI,541,361,1876,2900,1368,1671
MUNICIPIUL BUCURESTI,373,1945,4307,4681,3201,2864
MURES,1042,620,1706,2096,902,1045
NEAMT,1129,416,1664,2733,1600,1899
OLT,977,396,1686,3108,1863,2205
PRAHOVA,1123,349,1425,2325,1514,1545
SALAJ,840,374,1006,1177,649,629
SATU-MARE,556,303,943,1067,522,522
SIBIU,352,257,754,974,619,747
SUCEAVA,2768,756,2192,3062,1526,2019
TELEORMAN,1601,654,2116,3378,2126,2424
TIMIS,334,146,479,883,471,599
TULCEA,401,186,570,696,373,279
VALCEA,1035,291,889,1515,897,796
VASLUI ,964,402,2121,4178,2135,2363
VRANCEA,884,314,1001,1670,1034,1348
TOTAL,38344,18070,56011,83852,49416,56896
